,World Number,Level Number,Initial Scrap,Bronze Min.,Silver Min.,Gold Min.,Initial Blades,Big Scrap Interval,Small Scrap Interval,LevelType,Default Loadout
,1,6,15,,,,8,default,default,Standard,0; 1; 2; 6; 4
,,,,,,,,,,,
Act Number,Act Type,Act Fields,,,,,,,,,
1.8,dialog,Character,Emotion,Text,,,,,,,
,,joe,scared,Oh no! I'm getting called back to base. Colonel Squire needs to see me.,,,,,,,
,,joe,explaining,Don't worry. You'll be fine without me. You got this!,,,,,,,
1.9,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,20,,,,,,,,
2,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,40,0;2,yes,10,,,,,,
2.5,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,5,WARNING: Large wave of debris incoming!,,,,,,,
3,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,20,0;2;3,yes,6,,,,,,
4,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,40,0;2;3,yes,10,,,,,,
4.5,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,5,WARNING: Large wave of debris incoming!,,,,,,,
5,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,20,0;1;2;3,yes,6,,,,,,
