,World Number,Level Number,Initial Scrap,Bronze Min.,Silver Min.,Gold Min.,Initial Blades,Big Scrap Interval,Small Scrap Interval,LevelType,Default Loadout
,1,1,15,,,,1,8,0,Tutorial,
,,,,,,,,,,,
Act Number,Act Type,Act Fields,,,,,,,,,
0.5,action,Action Name,Action Argument,,,,,,,,
,,stop rarity drops,,,,,,,,,
1,action,Action Name,Action Argument,,,,,,,,
,,stop spawning,all scrap,,,,,,,,
2,dialog,Character,Emotion,Text,Direction,,,,,,
,,joe,happy,"Well hiya, kid! I’m Joe! Welcome to the team!",left,,,,,,
,,joe,ooo,"Not alotta time for chit-chat now...let's get you out in your ship, the Sentinel 9000!",left,,,,,,
3,condition,Condition Name,Argument,Prompt,,,,,,,
,,rotate ship,,Tap and drag to rotate the ship.,,,,,,,
4,dialog,Character,Emotion,Text,Direction,,,,,,
,,joe,side ooo,"A big part of your job is to clean up debris, meaning any coins you see floatin’ around.",left,,,,,,
,,joe,explaining,You’re gonna wanna clean all that up simply by tapping on it.,left,,,,,,
5,action,Action Name,Action Argument,,,,,,,,
,,spawn big scrap,1,,,,,,,,
6,condition,Condition Name,Argument,Prompt,,,,,,,
,,pick up collectible,BigScrap,Tap on gold scrap to collect.,,,,,,,
7,dialog,Character,Emotion,Text,Direction,,,,,,
,,joe,happy,Hot bag o' juice! Now you’ve got enough coins for a Gizmoid! ,left,,,,,,
,,joe,ooo,Lemme go ahead and create a blade for ya’ to hold it.,left,,,,,,
,,joe,happy,"Now I want you to meet my Gizmoid friend, Toasty! ",left,,,,,,
,,joe,side ooo,He fires atomically-infused pieces of toast.,left,,,,,,
8,action,Action Name,Action Argument,,,,,,,,
,,unlock gizmoid,1,,,,,,,,
9,condition,Condition Name,Argument,Prompt,,,,,,,
,,place gizmoid,,Tap and drag Toasty to a Blade to construct it.,,,,,,,
10,dialog,Character,Emotion,Text,,,,,,,
,,joe,happy,NOW you’re gettin’ it! Way to go!,left,,,,,,
,,joe,explaining,Toasty comes in handy when ya' wanna blow somethin' up. ,left,,,,,,
,,joe,worried,Somethin' like a big asteroid that's comin' right for ya!,left,,,,,,
11,action,Action Name,Action Argument,,,,,,,,
,,start spawning,big scrap,,,,,,,,
12,action,Action Name,Action Argument,,,,,,,,
,,stop enemy scrap drop,1,,,,,,,,
13,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,0,,yes,0,0,4,no,,,
14,dialog,Character,Emotion,Text,,,,,,,
,,joe,scared,"Aaaah, jeebuz! Careful now! You're headin' right into an asteroid field!",left,,,,,,
15,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,0,,yes,10,0;0;0;0;0,,no,,,
16,action,Action Name,Action Argument,,,,,,,,
,,stop spawning,all scrap,,,,,,,,
17,action,Action Name,Action Argument,,,,,,,,
,,spawn big scrap,4,,,,,,,,
18,condition,Condition Name,Argument,Prompt,,,,,,,
,,stockpile scrap,20,,,,,,,,
19,condition,Condition Name,Argument,Prompt,,,,,,,
,,place gizmoid,,Drag another Toasty on top of the current one to stack them.,,,,,,,
20,action,Action Name,Action Argument,,,,,,,,
,,start spawning,big scrap,,,,,,,,
21,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,0,,yes,5,0;0;0,0,no,blueprint- 0,,
22,action,Action Name,Action Argument,,,,,,,,
,,stop spawning,all scrap,,,,,,,,
23,condition,Condition Name,Argument,Prompt,,,,,,,
,,pick up collectible,blueprint,,,,,,,,
