,World Number,Level Number,Initial Scrap,Bronze Min.,Silver Min.,Gold Min.,Initial Blades,Big Scrap Interval,Small Scrap Interval,LevelType,Default Loadout
,1,5,15,,,,8,default,default,Tutorial,0; 1; 2; 6; 4
,,,,,,,,,,,
Act Number,Act Type,Act Fields,,,,,,,,,
0.5,action,Action Name,Action Argument,,,,,,,,
,,unlock,overclock,,,,,,,,
0.75,dialog,Character,Emotion,Text,,,,,,,
,,joe,side ooo,You can use overclocking now! ,,,,,,,
,,joe,explaining,Use the overclocking tokens to temporarily surpercharge your Gizmoid.,,,,,,,
1,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,20,,,,,,,,
1.5,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,Overclock,
,,,,yes,,0,,,,1,
2,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,40,0;2,yes,11,,,,,,
2.5,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,5,WARNING: Large wave of debris incoming!,,,,,,,
3,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,20,0;2;3,yes,6,,,,,,
4,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,40,0;2;3,yes,11,,,,,,
4.5,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,5,WARNING: Large wave of debris incoming!,,,,,,,
5,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,20,0;2;3,yes,6,,,,blueprint- 5,,
6,condition,Condition Name,Argument,Prompt,,,,,,,
,,pick up collectible,blueprint,,,,,,,,
7,action,Action Name,Action Argument,,,,,,,,
,,unlock,WorldMap,,,,,,,,
8,action,Action Name,Action Argument,,,,,,,,
,,unlock,Loadout,,,,,,,,
9,dialog,Character,Emotion,Text,,,,,,,
,,joe,ooo,Oooooo... Now you get to go check out the world map!,,,,,,,
