,World Number,Level Number,Initial Scrap,Bronze Min.,Silver Min.,Gold Min.,Initial Blades,Big Scrap Interval,Small Scrap Interval,LevelType,Default Loadout
,1,4,15,,,,8,default,default,Tutorial,0; 1; 2; 6
,,,,,,,,,,,
Act Number,Act Type,Act Fields,,,,,,,,,
0.5,action,Action Name,Action Argument,,,,,,,,
,,insert gizmoid,1;0;1,,,,,,,,
0.75,dialog,Character,Emotion,Text,,,,,,,
,,joe,worried,Poor little Toasty... He's all dinged up and can't help you anymore.,,,,,,,
,,joe,explaining,Drop him in the recycle bin to collect some spare scrap.,,,,,,,
0.8,condition,Condition Name,Argument,Prompt,,,,,,,
,,use button,trash,"Press the trash button, then select a gizmoid to destroy it.",,,,,,,
1,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,20,,,,,,,,
2,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,40,0;2,yes,12,,,,,,
2.5,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,5,WARNING: Large wave of debris incoming!,,,,,,,
3,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,20,0;2;3,yes,6,,,,,,
4,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,40,0;2;3,yes,12,,,,,,
4.5,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,5,WARNING: Large wave of debris incoming!,,,,,,,
5,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,20,0;2;3,yes,6,,,,blueprint- 4,,
6,condition,Condition Name,Argument,Prompt,,,,,,,
,,pick up collectible,blueprint,,,,,,,,
