,World Number,Level Number,Initial Scrap,Bronze Min.,Silver Min.,Gold Min.,Initial Blades,Big Scrap Interval,Small Scrap Interval,LevelType,Default Loadout
,1,9,15,,,,9,default,default,Standard,
,,,,,,,,,,,
Act Number,Act Type,Act Fields,,,,,,,,,
1,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,20,,,,,,,,
2,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,40,0;2,yes,7.5,,,,,,
2.5,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,5,WARNING: Large wave of debris incoming!,,,,,,,
3,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,20,0;2;3,yes,6,,,,,,
4,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,40,0;2;3,yes,7.5,,,,,,
4.5,condition,Condition Name,Argument,Prompt,,,,,,,
,,wait for seconds,5,WARNING: Large wave of debris incoming!,,,,,,,
5,wave,Duration,Possible Enemies,Wait For Enemies?,Delay,Enemy Roster,Spawn Lane,Randomize Roster?,Drop,,
,,20,0;1;2;3,yes,4.5,,,,,,
